batch,loss,accuracy
100,1.2046242707967758,0.62
200,0.8886853566765786,0.73625
300,0.9058354216814041,0.7434375
400,0.8879805862903595,0.750625
500,0.9046478420495987,0.7421875
600,0.8912637141346932,0.7503125
700,0.8647144854068756,0.7559375
800,0.8268692925572395,0.769375
900,0.8593142886459827,0.76
1000,0.803871750831604,0.7753125
1100,0.9012834990024566,0.7525
1200,0.8840978801250458,0.756875
1300,0.7939781923592091,0.768125
1400,0.8513372954726219,0.770625
1500,0.8073881351947785,0.765
100,0.6544343698024749,0.8171875
200,0.6739489133656025,0.815
300,0.6567032957077026,0.8178125
400,0.6635352427512408,0.8059375
500,0.7237490311264991,0.79625
600,0.6917626486718654,0.8125
700,0.7223853282630444,0.8021875
800,0.6757249237596988,0.819375
900,0.6060844748467207,0.823125
1000,0.6213556794822216,0.8259375
1100,0.6605486454069615,0.8203125
1200,0.6896811529994011,0.8128125
1300,0.6855173851549625,0.8128125
1400,0.7101413634419441,0.811875
1500,0.7209684930741787,0.8096875
100,0.5340915931761265,0.846875
200,0.5467600850015879,0.84375
300,0.6075114473700524,0.841875
400,0.5746563431248068,0.8453125
500,0.5869419665634632,0.8396875
600,0.5817383046448231,0.8446875
700,0.5142747674882412,0.8575
800,0.5510619855299592,0.8534375
900,0.5969916503131389,0.834375
1000,0.6124697355180979,0.834375
1100,0.5645647707954049,0.8434375
1200,0.5712414975464344,0.8425
1300,0.610071883648634,0.8421875
1400,0.5648770072311163,0.8428125
1500,0.6284073576331138,0.8275
100,0.4797282082750462,0.8640625
200,0.5390536160767079,0.861875
300,0.4413373076170683,0.86625
400,0.49665032275021076,0.8715625
500,0.505493705123663,0.865625
600,0.5153810342028737,0.8625
700,0.4989878172427416,0.8603125
800,0.537890110462904,0.865
900,0.5483502642810345,0.849375
1000,0.5885596871376038,0.8440625
1100,0.4969056445360184,0.8559375
1200,0.44216861329972745,0.876875
1300,0.5718537736311555,0.85625
1400,0.5573987871780992,0.8534375
1500,0.5718815445899963,0.8509375
100,0.45507091291248797,0.8696875
200,0.44754013273864984,0.8728125
300,0.445609371997416,0.8775
400,0.4491100124269724,0.8815625
500,0.43972126111388204,0.8784375
600,0.49519189655780793,0.8721875
700,0.4218562350980937,0.8790625
800,0.4874722381308675,0.8803125
900,0.4852748558297753,0.8628125
1000,0.5347448436915875,0.860625
1100,0.5167685686796903,0.864375
1200,0.4770237079635262,0.8725
1300,0.49981858987361194,0.86125
1400,0.5179447356611491,0.8621875
1500,0.5238864328712225,0.8678125
