batch,loss,accuracy
100,4.104379072189331,0.12625
200,2.927063298225403,0.3046875
300,2.462704846858978,0.3959375
400,2.230406767129898,0.4240625
500,2.0704978382587433,0.4596875
600,1.9915408754348756,0.47
700,1.8929345226287841,0.490625
800,1.9087498533725737,0.49
900,1.881040531396866,0.484375
1000,1.7811690866947174,0.51875
1100,1.8246905517578125,0.51125
1200,1.8327366364002229,0.5025
1300,1.7645265400409698,0.52125
1400,1.8098212718963622,0.5128125
1500,1.8051571393013,0.5265625
100,1.588972744345665,0.5690625
200,1.5912776589393616,0.5678125
300,1.5815688812732696,0.5728125
400,1.6258474040031432,0.555
500,1.6595518976449966,0.549375
600,1.6030980509519577,0.5590625
700,1.6227425986528397,0.5546875
800,1.6449914413690567,0.5565625
900,1.6142989599704742,0.559375
1000,1.630650806427002,0.5715625
1100,1.6104110836982728,0.5553125
1200,1.6297181594371795,0.5540625
1300,1.639389873147011,0.55375
1400,1.619181158542633,0.5621875
1500,1.5997805398702623,0.5590625
100,1.4628385192155837,0.5928125
200,1.489729797244072,0.5884375
300,1.4810603839159011,0.583125
400,1.5243626296520234,0.58125
500,1.4991969001293182,0.5853125
600,1.5005439484119416,0.58125
700,1.5231143283843993,0.580625
800,1.4799354124069213,0.5990625
900,1.5298248201608657,0.5853125
1000,1.5201598370075227,0.584375
1100,1.5325214785337449,0.581875
1200,1.5080048483610153,0.5959375
1300,1.5601167535781861,0.5709375
1400,1.6038101178407669,0.564375
1500,1.5388351446390152,0.585625
100,1.3958282226324081,0.6090625
200,1.3699878937005996,0.6071875
300,1.4061846911907196,0.6025
400,1.4328608065843582,0.6103125
500,1.4652319186925888,0.59
600,1.4345431727170945,0.6053125
700,1.4492639529705047,0.5996875
800,1.474360899925232,0.5878125
900,1.4115789079666137,0.608125
1000,1.4250215411186218,0.6246875
1100,1.5274447083473206,0.583125
1200,1.4451320248842239,0.6065625
1300,1.4296223109960555,0.611875
1400,1.5069581073522569,0.5909375
1500,1.5215250784158707,0.5803125
100,1.3027909356355667,0.6228125
200,1.3508192336559295,0.6271875
300,1.3527538377046584,0.6184375
400,1.3433509784936906,0.628125
500,1.376640510559082,0.6171875
600,1.4372890555858613,0.6053125
700,1.3680910438299179,0.625
800,1.4080640357732772,0.6134375
900,1.378724800348282,0.62625
1000,1.389892835021019,0.610625
1100,1.4421508538722991,0.6053125
1200,1.4381933826208115,0.60875
1300,1.4377594095468522,0.595
1400,1.4028709524869918,0.6190625
1500,1.498889616727829,0.5878125
