batch,loss,accuracy
100,5.1307581472396855,0.0721875
200,3.609424171447754,0.246875
300,2.862915503978729,0.3765625
400,2.5843717396259307,0.423125
500,2.4267102169990538,0.44875
600,2.2464229130744933,0.4725
700,2.2385704278945924,0.4740625
800,2.1746776378154755,0.485625
900,2.0422186386585235,0.5171875
1000,2.027884657382965,0.5171875
1100,2.068278428316116,0.5025
1200,2.039944714307785,0.5190625
1300,2.0415841591358186,0.513125
1400,1.9577576899528504,0.5259375
1500,2.034742678999901,0.52375
1600,1.9963741314411163,0.53
1700,1.9098365235328674,0.5428125
1800,1.991488628387451,0.5325
1900,1.8571053290367125,0.5584375
2000,1.9241120553016662,0.548125
2100,1.9558644640445708,0.5328125
2200,1.8928594756126405,0.5428125
2300,1.9751918357610703,0.540625
2400,1.9841381132602691,0.545625
2500,1.8397555768489837,0.55625
2600,1.9314806377887725,0.5515625
2700,1.9218623530864716,0.5459375
2800,1.9053236001729965,0.558125
2900,1.918025848865509,0.5575
3000,1.913519583940506,0.5534375
3100,1.902937777042389,0.555
100,1.8010400009155274,0.5765625
200,1.700914032459259,0.585625
300,1.7477734422683715,0.5834375
400,1.7046368575096131,0.59
500,1.7452692133188248,0.5828125
600,1.7399437749385833,0.5734375
700,1.799299299120903,0.579375
800,1.7705652767419815,0.58125
900,1.757246121764183,0.5790625
1000,1.8108893883228303,0.5703125
1100,1.7878149563074113,0.583125
1200,1.765350935459137,0.5846875
1300,1.8426543062925338,0.57125
1400,1.8177800488471985,0.5715625
1500,1.7404085391759871,0.5921875
1600,1.8065728050470353,0.5715625
1700,1.8277388167381288,0.5715625
1800,1.7921882700920104,0.58625
1900,1.710529288649559,0.59
2000,1.8731526732444763,0.57125
2100,1.8031517100334167,0.58125
2200,1.824287565946579,0.5846875
2300,1.8434122610092163,0.5696875
2400,1.7773239666223526,0.58
2500,1.7943299251794815,0.5825
2600,1.8645935547351837,0.57125
2700,1.9004716455936432,0.5640625
2800,1.8714950311183929,0.57125
2900,1.7881897103786468,0.5846875
3000,1.8382253539562226,0.5728125
3100,1.7404292523860931,0.6
100,1.5496151965856553,0.625625
200,1.5910687839984894,0.613125
300,1.6405178290605544,0.6225
400,1.6792556023597718,0.588125
500,1.6107114660739899,0.6078125
600,1.68862490773201,0.5953125
700,1.7079364204406737,0.58875
800,1.6576250118017197,0.6040625
900,1.7168049907684326,0.585
1000,1.6208173620700836,0.615
1100,1.721232327222824,0.5946875
1200,1.795549709200859,0.5815625
1300,1.6974020385742188,0.596875
1400,1.6613378137350083,0.613125
1500,1.7944307661056518,0.5890625
1600,1.6603272074460984,0.60125
1700,1.7703786152601242,0.59625
1800,1.7215987598896028,0.5915625
1900,1.7007019251585007,0.596875
2000,1.7316304063796997,0.5925
2100,1.7942422008514405,0.5925
2200,1.7660499900579452,0.5975
2300,1.7934527909755706,0.585
2400,1.7294082856178283,0.5946875
2500,1.7876564347743988,0.5821875
2600,1.7883580499887466,0.59
2700,1.8177314102649689,0.5828125
2800,1.7734909307956697,0.579375
2900,1.8088650923967362,0.5925
3000,1.7187607026100158,0.5996875
3100,1.7814864540100097,0.5965625
100,1.6305714678764343,0.6146875
200,1.595684095621109,0.6225
300,1.538182926774025,0.62375
400,1.592319861650467,0.625
500,1.6007692766189576,0.6328125
600,1.620458053946495,0.5996875
700,1.6499070119857788,0.610625
800,1.6535065841674805,0.6134375
900,1.5971685999631882,0.6203125
1000,1.6558624744415282,0.604375
1100,1.6518143332004547,0.6153125
1200,1.6104895788431168,0.610625
1300,1.6456264233589173,0.5996875
1400,1.7015954726934432,0.6003125
1500,1.6502375358343124,0.61
1600,1.7448366785049438,0.5965625
1700,1.6008641356229782,0.6109375
1800,1.6971858751773834,0.605625
1900,1.5883765298128127,0.61625
2000,1.749636029601097,0.588125
2100,1.685350859761238,0.6040625
2200,1.6161756733059882,0.62375
2300,1.6472110456228257,0.614375
2400,1.7391946816444397,0.6028125
2500,1.6690268290042878,0.6103125
2600,1.6824569913744927,0.6046875
2700,1.6763767087459565,0.6109375
2800,1.7993625622987748,0.5846875
2900,1.7255627125501634,0.6046875
3000,1.7920766538381576,0.5884375
3100,1.7845674240589142,0.5959375
100,1.576808625459671,0.619375
200,1.5440883576869964,0.6196875
300,1.4381635051965713,0.645
400,1.5048664981126785,0.631875
500,1.570571328997612,0.6246875
600,1.5620299756526947,0.6259375
700,1.5747816878557206,0.6196875
800,1.526636062860489,0.6315625
900,1.6409638679027558,0.6178125
1000,1.5534056800603866,0.6275
1100,1.5913699108362198,0.61875
1200,1.6296718806028365,0.619375
1300,1.5589124071598053,0.630625
1400,1.5796017628908157,0.6203125
1500,1.5876853734254837,0.631875
1600,1.5905552101135254,0.618125
1700,1.6119045239686967,0.609375
1800,1.6599277305603026,0.6078125
1900,1.6490241354703903,0.6065625
2000,1.5879677546024322,0.623125
2100,1.7062565511465073,0.61125
2200,1.7133171653747559,0.6021875
2300,1.5922963780164718,0.6221875
2400,1.7249787628650666,0.6065625
2500,1.6872650170326233,0.6075
2600,1.6338273751735688,0.6140625
2700,1.7085024988651276,0.6040625
2800,1.7008709627389909,0.6090625
2900,1.6612317478656768,0.6096875
3000,1.7103941416740418,0.6065625
3100,1.7511529737710954,0.6040625
