batch,loss,accuracy
100,4.044419877529144,0.1046875
200,3.1314492440223693,0.2421875
300,3.050539536476135,0.2671875
400,3.0528750085830687,0.2765625
500,3.0478632283210754,0.2928125
600,3.094944188594818,0.29375
700,3.0456761503219605,0.28625
800,2.909969925880432,0.3171875
900,2.8132975721359252,0.334375
1000,2.806931126117706,0.33875
1100,2.7887758576869963,0.338125
1200,2.8247710263729093,0.341875
1300,2.787786042690277,0.34125
1400,2.800323547124863,0.33625
1500,2.7855466341972352,0.33375
100,2.5533981490135194,0.3896875
200,2.5564373564720153,0.3771875
300,2.5026396179199217,0.3940625
400,2.6352894508838656,0.3696875
500,2.4944422781467437,0.4021875
600,2.6333390295505525,0.376875
700,2.599839903116226,0.39625
800,2.6051868426799776,0.3803125
900,2.5946669936180116,0.3875
1000,2.5592237877845765,0.3834375
1100,2.6000115311145784,0.393125
1200,2.609171509742737,0.39
1300,2.605504915714264,0.3775
1400,2.5224386298656465,0.39875
1500,2.6126647877693174,0.3796875
100,2.395217399597168,0.423125
200,2.3372684693336487,0.4309375
300,2.3548497104644777,0.431875
400,2.361622359752655,0.42875
500,2.3109984648227693,0.4378125
600,2.3700219452381135,0.426875
700,2.4531531631946564,0.4265625
800,2.4170630288124086,0.42625
900,2.36501628279686,0.4371875
1000,2.418827431201935,0.4334375
1100,2.408340882062912,0.4228125
1200,2.356126638650894,0.4315625
1300,2.4168195736408236,0.425625
1400,2.4952066922187806,0.41375
1500,2.452251431941986,0.415
100,2.1940407657623293,0.4715625
200,2.2594367825984953,0.468125
300,2.3861572563648226,0.4259375
400,2.3211678683757784,0.4546875
500,2.3161070168018343,0.4565625
600,2.325926887989044,0.455625
700,2.270606005191803,0.4615625
800,2.3532757329940797,0.4359375
900,2.3076534986495973,0.44625
1000,2.25383847117424,0.4484375
1100,2.364472107887268,0.4340625
1200,2.34172297000885,0.4434375
1300,2.3479671657085417,0.4409375
1400,2.3699635910987853,0.435625
1500,2.299979475736618,0.45
100,2.2186799168586733,0.4796875
200,2.1654220855236055,0.466875
300,2.3226944363117217,0.451875
400,2.2329929268360136,0.466875
500,2.291911416053772,0.46125
600,2.1475585925579073,0.4825
700,2.3928145641088485,0.4621875
800,2.3835531842708586,0.4403125
900,2.1857926094532014,0.47375
1000,2.2549044954776765,0.4625
1100,2.24351948261261,0.4734375
1200,2.348175325393677,0.45125
1300,2.2072887629270554,0.4696875
1400,2.2931805515289305,0.466875
1500,2.233938283920288,0.4671875
