batch,loss,accuracy
100,5.2797394418716435,0.02125
200,4.765668776035309,0.059375
300,4.6066068840026855,0.0859375
400,4.438774464130401,0.09375
500,4.434711554050446,0.093125
600,4.275138933658599,0.1090625
700,4.279490172863007,0.1196875
800,4.1705221891403195,0.1240625
900,4.143067836761475,0.128125
1000,4.107845695018768,0.1403125
1100,4.044803915023803,0.141875
1200,4.123792860507965,0.1428125
1300,3.970970766544342,0.1540625
1400,4.036695141792297,0.1571875
1500,4.028885328769684,0.15
1600,4.01763551235199,0.1521875
1700,3.9774263215065004,0.165625
1800,3.931585879325867,0.1609375
1900,3.8521954298019407,0.17375
2000,4.00486775636673,0.1584375
2100,3.980253746509552,0.17625
2200,3.9918504333496094,0.1575
2300,3.9358848834037783,0.161875
2400,3.9405516719818117,0.1584375
2500,3.900703401565552,0.1715625
2600,3.8793354272842406,0.17125
2700,3.9375145196914674,0.1703125
2800,3.9250268745422363,0.170625
2900,3.8816269421577454,0.173125
3000,3.8321052193641663,0.1778125
3100,3.9007021474838255,0.1790625
100,3.762631652355194,0.1959375
200,3.730479588508606,0.1978125
300,3.690932424068451,0.1965625
400,3.716401262283325,0.1990625
500,3.794788541793823,0.1878125
600,3.7108379888534544,0.2009375
700,3.724425275325775,0.1896875
800,3.740807180404663,0.1946875
900,3.702497451305389,0.1925
1000,3.7242894983291626,0.1971875
1100,3.8443233942985535,0.1903125
1200,3.8300102138519287,0.193125
1300,3.798107986450195,0.1875
1400,3.7820923638343813,0.1871875
1500,3.761114819049835,0.205
1600,3.7707541608810424,0.186875
1700,3.9563908886909487,0.17625
1800,3.830822331905365,0.1865625
1900,3.8641348838806153,0.1834375
2000,3.713719165325165,0.1946875
2100,3.784253258705139,0.199375
2200,3.841057069301605,0.1984375
2300,3.816605153083801,0.1871875
2400,3.847889294624329,0.1940625
2500,3.7187812662124635,0.193125
2600,3.8388156127929687,0.1821875
2700,3.904255225658417,0.1746875
2800,3.8579825448989866,0.2003125
2900,3.6651780080795286,0.2134375
3000,3.8522454118728637,0.189375
3100,3.81091747045517,0.1840625
100,3.626466205120087,0.211875
200,3.6102325034141542,0.225625
300,3.646396930217743,0.2103125
400,3.702757737636566,0.2071875
500,3.6686996841430664,0.2065625
600,3.6191898345947267,0.2115625
700,3.6710339283943174,0.2128125
800,3.7808313250541685,0.2028125
900,3.7243325400352476,0.2046875
1000,3.6414829087257385,0.20625
1100,3.694462604522705,0.201875
1200,3.6790360403060913,0.2125
1300,3.680671446323395,0.2009375
1400,3.6963978838920593,0.20625
1500,3.617705821990967,0.2221875
1600,3.5930843114852906,0.22375
1700,3.731713049411774,0.194375
1800,3.710455536842346,0.193125
1900,3.678471097946167,0.2115625
2000,3.619506061077118,0.2275
2100,3.7289429783821104,0.2125
2200,3.718323347568512,0.20625
2300,3.632327299118042,0.210625
2400,3.753179519176483,0.2040625
2500,3.7302737855911254,0.2034375
2600,3.6985753083229067,0.2071875
2700,3.7710914063453673,0.195625
2800,3.7985282731056214,0.1934375
2900,3.780788547992706,0.204375
3000,3.6589006209373474,0.223125
3100,3.742625689506531,0.2128125
100,3.708628523349762,0.2021875
200,3.5746746015548707,0.2215625
300,3.7032932925224302,0.211875
400,3.717879159450531,0.2065625
500,3.670544545650482,0.2125
600,3.6723621034622194,0.2153125
700,3.6051354885101317,0.22375
800,3.7212723898887634,0.2109375
900,3.6800791215896607,0.2140625
1000,3.752729413509369,0.199375
1100,3.66242436170578,0.229375
1200,3.735605008602142,0.2146875
1300,3.692001497745514,0.2128125
1400,3.6451738619804384,0.2121875
1500,3.762877984046936,0.1978125
1600,3.7642760491371154,0.200625
1700,3.803045072555542,0.1990625
1800,3.72153648853302,0.196875
1900,3.861768116950989,0.2025
2000,3.793134858608246,0.1890625
2100,3.8183651971817016,0.199375
2200,3.691712191104889,0.2090625
2300,3.7870804476737976,0.208125
2400,3.6665539526939392,0.2059375
2500,3.7004684352874757,0.2184375
2600,3.6608233213424684,0.229375
2700,3.7902866196632385,0.201875
2800,3.6925163793563844,0.2178125
2900,3.7358619379997253,0.214375
3000,3.7283744382858277,0.214375
3100,3.738783302307129,0.213125
100,3.6706745266914367,0.2178125
200,3.657527220249176,0.2196875
300,3.6210291361808777,0.209375
400,3.628727238178253,0.2234375
500,3.6197107434272766,0.2321875
600,3.864131007194519,0.1990625
700,3.724075720310211,0.20375
800,3.6193509340286254,0.21625
900,3.717389144897461,0.209375
1000,3.7050768089294435,0.218125
1100,3.6851981616020204,0.223125
1200,3.7622000408172607,0.2109375
1300,3.7633867192268373,0.2009375
1400,3.6844566249847412,0.218125
1500,3.7242459797859193,0.2221875
1600,3.6990058279037474,0.219375
1700,3.7088798093795776,0.230625
1800,3.6543792915344238,0.22375
1900,3.6847559309005735,0.22125
2000,3.8320194554328917,0.1940625
2100,3.619549608230591,0.220625
2200,3.7118211603164672,0.216875
2300,3.701111419200897,0.2115625
2400,3.750243239402771,0.2115625
2500,3.700090823173523,0.2109375
2600,3.8025492000579835,0.196875
2700,3.7488536477088927,0.1965625
2800,3.7907896399497987,0.2090625
2900,3.724951467514038,0.20625
3000,3.7229434776306154,0.2159375
3100,3.799903190135956,0.2021875
